,stock,buy,sell,profit,total profit,open,high,close,p_change,volume
2017-07-14,000001,10.81,0.0,0.008325624421831712,0.0,10.81,10.94,10.9,0.0,1722570.25
2017-07-17,000001,0.0,10.95,0.0045871559633026545,0.012950971322849059,10.95,11.33,10.81,-0.83,3273123.25
2017-08-30,000001,11.68,0.0,-0.021404109589041043,0.0,11.68,11.7,11.43,-2.06,1096674.75
2017-08-31,000001,0.0,11.39,-0.0034995625546805904,-0.02482876712328763,11.39,11.44,11.28,-1.31,1151786.5
2017-10-19,000001,11.64,0.0,-0.0008591065292096189,0.0,11.64,11.72,11.63,-0.51,722764.81
2017-10-20,000001,0.0,11.59,-0.0034393809114360205,-0.004295532646048206,11.59,11.59,11.48,-1.29,461808.09
2018-08-23,000001,9.3,0.0,0.006451612903225712,0.0,9.3,9.42,9.36,0.75,729074.62
2018-08-24,000001,0.0,9.31,-0.005341880341880228,0.0010752688172042113,9.31,10.28,10.03,7.16,3040408.25
2018-08-28,000001,10.34,0.0,-0.004835589941972973,0.0,10.34,10.43,10.29,-1.34,1289777.25
2018-08-29,000001,0.0,10.25,-0.0038872691933915598,-0.008704061895551285,10.25,10.33,10.27,-0.19,901883.5
2019-06-11,000001,12.34,0.0,0.025121555915721183,0.0,12.34,12.72,12.65,2.51,1251087.5
2019-06-12,000001,0.0,12.63,-0.0015810276679841559,0.02350081037277163,12.63,12.66,12.57,-0.63,657310.19
2019-08-12,000001,14.61,0.0,0.03490759753593431,0.0,14.61,15.12,15.12,4.13,2733425.5
2019-08-13,000001,0.0,15.0,-0.007936507936507886,0.026694045174538106,15.0,15.08,14.89,-1.52,1293736.5
2017-11-02,000002,29.3,0.0,0.005119453924914641,0.0,29.3,29.48,29.45,1.03,361906.47
2017-11-03,000002,0.0,29.23,-0.0074702886247877374,-0.0023890784982935065,29.23,29.52,28.19,-4.28,455428.47
2017-11-17,000002,28.85,0.0,0.0017331022530329143,0.0,28.85,29.6,28.9,-0.14,563944.0
2017-11-20,000002,0.0,28.8,-0.003460207612456674,-0.0017331022530329143,28.8,29.01,28.9,0.0,395088.47
2017-11-27,000002,31.45,0.0,0.0022257551669315756,0.0,31.45,32.6,31.52,-0.88,521581.28
2017-11-28,000002,0.0,31.09,-0.013642131979695422,-0.0114467408585055,31.09,31.35,30.75,-2.44,405786.47
2017-11-30,000002,33.1,0.0,-0.056797583081571124,0.0,33.1,33.4,31.22,-7.69,1000665.5
2017-12-01,000002,0.0,30.5,-0.023062139654067868,-0.0785498489425982,30.5,32.03,30.73,-1.57,557438.56
2017-12-26,000002,30.49,0.0,0.0003279763857002571,0.0,30.49,30.8,30.5,0.43,278845.59
2017-12-27,000002,0.0,30.55,0.0016393442622951052,0.0019678583142015427,30.55,31.09,30.79,0.95,395488.84
2018-06-04,000002,26.3,0.0,0.03802281368821303,0.0,26.3,27.38,27.3,5.0,789190.81
2018-06-05,000002,0.0,27.29,-0.00036630036630042355,0.03764258555133071,27.29,27.77,27.49,0.7,606841.38
2018-06-06,000002,27.3,0.0,-0.011355311355311426,0.0,27.3,27.54,26.99,-1.82,508162.53
2018-06-07,000002,0.0,27.07,0.002964060763245715,-0.008424908424908395,27.07,27.64,27.39,1.48,597535.75
2018-07-24,000002,24.04,0.0,0.014143094841930104,0.0,24.04,25.09,24.38,2.65,832814.25
2018-07-25,000002,0.0,24.38,0.0,0.014143094841930104,24.38,24.58,24.18,-0.82,355182.97
2018-10-26,000002,23.71,0.0,0.004217629692113034,0.0,23.71,24.75,23.81,1.36,729756.62
2018-10-29,000002,0.0,24.28,0.019739605207895944,0.024040489245044316,24.28,24.33,22.8,-4.24,618876.62
2018-10-31,000002,23.68,0.0,0.023226351351351315,0.0,23.68,24.6,24.23,2.28,565648.81
2018-11-01,000002,0.0,24.9,0.02765167148163426,0.051520270270270174,24.9,25.27,24.42,0.78,617847.25
2019-03-21,000002,29.63,0.0,-0.0026999662504217925,0.0,29.63,30.14,29.55,0.07,673372.75
2019-03-22,000002,0.0,29.38,-0.005752961082910379,-0.00843739453256831,29.38,29.4,29.19,-1.22,403115.16
2019-06-11,000002,27.87,0.0,0.016505202726946333,0.0,27.87,28.45,28.33,1.87,449630.03
2019-06-12,000002,0.0,28.24,-0.0031768443346275985,0.013275923932543954,28.24,28.29,28.0,-1.17,269372.25
2019-07-23,000002,30.9,0.0,-0.029126213592232997,0.0,30.9,31.0,30.0,-3.54,596290.56
2019-07-24,000002,0.0,30.0,0.0,-0.029126213592232997,30.0,30.3,29.97,-0.1,391729.75
2017-09-12,000004,25.31,0.0,-0.023706045041485546,0.0,25.31,25.31,24.71,-2.95,27387.6
2017-09-13,000004,0.0,24.61,-0.004046944556859628,-0.027657052548399785,24.61,25.1,24.84,0.53,10777.64
