,date,stock,industry profit rank,buy,sell,profit,total profit,same with index,open,high,close,p_change,tendays max,volume,trading value,trading value rank
200,2017-08-10,600420,1.0,1,0.0,1e-13,0.0,0,15.25,16.15,16.08,5.58,15.62,140348.33,2256801.1463999995,1.0
201,2017-08-11,600420,1.0,0,0.0,0.03254067584480598,0.0,0,15.98,16.94,16.5,2.61,16.94,200406.62,3306709.23,1.0
68,2017-08-14,2612,2.0,1,0.0,1e-13,0.0,1,13.03,13.49,13.48,3.14,13.29,34149.13,460330.27239999996,1.0
130,2017-08-14,300378,8.0,1,0.0,1e-13,0.0,1,15.6,17.03,16.76,7.71,16.7,110621.76,1854020.6976,2.0
202,2017-08-14,600420,53.0,0,0.0,-0.0048,0.0,0,16.5,16.9,16.42,-0.48,16.94,114229.9,1875654.958,3.0
69,2017-08-15,2612,26.0,0,0.0,-0.0014847809948033664,0.0,0,13.47,13.6,13.45,-0.22,13.29,16208.16,217999.75199999998,1.0
131,2017-08-15,300378,22.0,0,0.0,0.01428571428571419,0.0,1,16.8,17.08,17.04,1.67,16.7,84114.27,1433307.1608,3.0
203,2017-08-15,600420,32.0,0,0.0,0.0006,0.0,1,16.41,16.66,16.43,0.06,16.94,59956.83,985090.7169,2.0
70,2017-08-16,2612,14.0,0,0.0,0.0104,0.0,1,13.61,13.9,13.59,1.04,13.9,33048.92,449134.82279999997,1.0
132,2017-08-16,300378,86.0,0,0.0,0.0018,0.0,0,16.95,17.4,17.07,0.18,16.7,94177.72,1607613.6804,3.0
204,2017-08-16,600420,52.0,0,0.0,-0.0122,0.0,1,16.3,16.52,16.23,-1.22,16.94,63734.8,1034415.8040000001,2.0
71,2017-08-17,2612,14.0,0,13.52,-0.005150846210448879,0.0037119524870081744,1,13.52,13.74,13.67,0.59,13.9,22201.72,303497.5124,1.0
133,2017-08-17,300378,49.0,0,0.0,0.016399999999999998,0.0,1,16.97,17.77,17.35,1.64,17.77,93577.29,1623565.9815,3.0
205,2017-08-17,600420,40.0,0,0.0,-0.0018,0.0,0,16.08,16.26,16.2,-0.18,16.94,55309.14,896008.068,2.0
253,2017-08-17,600575,1.0,1,0.0,1e-13,0.0,1,4.22,4.61,4.55,8.08,4.48,407636.41,1854745.6655,4.0
134,2017-08-18,300378,83.0,0,0.0,-0.0236,0.0,0,17.1,17.25,16.94,-2.36,17.77,62808.39,1063974.1266,2.0
181,2017-08-18,600086,4.0,1,0.0,1e-13,0.0,1,10.86,11.16,11.08,1.65,11.0,310200.16,3437017.7728,4.0
206,2017-08-18,600420,14.0,0,0.0,0.0043,0.0,1,16.14,16.56,16.27,0.43,16.94,64090.25,1042748.3674999999,1.0
254,2017-08-18,600575,1.0,0,0.0,0.06249999999999985,0.0,1,4.48,4.77,4.76,4.62,4.48,509152.84,2423567.5184,3.0
135,2017-08-21,300378,54.0,0,0.0,0.0047,0.0,1,16.9,17.13,17.02,0.47,17.77,34324.49,584202.8197999999,1.0
182,2017-08-21,600086,16.0,0,0.0,0.015426497277676943,0.0,1,11.02,11.19,11.19,0.99,11.0,215916.88,2416109.8871999998,3.0
207,2017-08-21,600420,56.0,0,0.0,-0.0203,0.0,0,16.25,16.38,15.94,-2.03,16.94,97600.37,1555749.8978,2.0
255,2017-08-21,600575,1.0,0,0.0,0.0483,0.0,1,4.79,5.02,4.99,4.83,4.48,564261.75,2815666.1325000003,4.0
136,2017-08-22,300378,38.0,0,0.0,-0.01,0.0,0,17.02,17.06,16.85,-1.0,17.77,33621.11,566515.7035000001,1.0
183,2017-08-22,600086,27.0,0,0.0,-0.0116,0.0,0,11.17,11.44,11.06,-1.16,11.44,292249.0,3232273.94,3.0
208,2017-08-22,600420,21.0,0,0.0,-0.0019,0.0,0,16.0,16.06,15.91,-0.19,16.94,44086.95,701423.3744999999,2.0
256,2017-08-22,600575,7.0,0,0.0,-0.022,0.0,0,4.95,5.29,4.88,-2.2,5.29,739038.0,3606505.44,4.0
137,2017-08-23,300378,9.0,0,0.0,0.0214,0.0,0,16.85,17.34,17.21,2.14,17.77,44456.14,765090.1694,2.0
184,2017-08-23,600086,24.0,0,0.0,-0.0036,0.0,1,11.11,11.21,11.02,-0.36,11.44,108429.95,1194898.0489999999,3.0
209,2017-08-23,600420,38.0,0,0.0,-0.0088,0.0,1,15.91,15.96,15.77,-0.88,16.94,33280.42,524832.2233999999,1.0
257,2017-08-23,600575,7.0,0,0.0,-0.0348,0.0,1,4.89,4.9,4.71,-3.48,5.29,392834.22,1850249.1761999999,4.0
138,2017-08-24,300378,82.0,0,0.0,-0.0238,0.0,1,17.12,17.2,16.8,-2.38,17.77,35185.92,591123.456,2.0
185,2017-08-24,600086,39.0,0,0.0,-0.0254,0.0,1,11.0,11.05,10.74,-2.54,11.44,191343.56,2055029.8344,4.0
210,2017-08-24,600420,6.0,0,0.0,0.0051,0.0,0,15.8,15.88,15.85,0.51,16.94,23732.89,376166.3065,1.0
258,2017-08-24,600575,7.0,0,0.0,-0.0255,0.0,1,4.63,4.73,4.59,-2.55,5.29,244060.84,1120239.2556,3.0
139,2017-08-25,300378,31.0,0,0.0,0.0256,0.0,1,16.82,17.35,17.23,2.56,17.77,50392.71,868266.3933,3.0
186,2017-08-25,600086,39.0,0,10.64,-0.009310986964618215,-0.03448275862068961,0,10.64,10.71,10.5,-2.23,11.44,131868.3,1384617.15,4.0
211,2017-08-25,600420,37.0,0,0.0,0.0076,0.0,1,15.81,15.97,15.97,0.76,16.94,36241.24,578772.6028,1.0
259,2017-08-25,600575,8.0,0,0.0,0.0022,0.0,1,4.59,4.71,4.6,0.22,5.29,182945.27,841548.2419999999,2.0
140,2017-08-28,300378,24.0,0,0.0,0.033100000000000004,0.0,1,17.2,18.05,17.8,3.31,17.77,72755.13,1295041.3140000002,2.0
260,2017-08-28,600575,8.0,0,0.0,0.006500000000000001,0.0,1,4.57,4.69,4.63,0.65,5.29,150597.75,697267.5825,1.0
141,2017-08-29,300378,63.0,0,17.81,0.0005617977528088768,0.06011904761904741,0,17.81,17.87,17.61,-1.07,17.77,42881.06,755135.4665999999,2.0
212,2017-08-29,600420,42.0,0,0.0,-0.0088,0.0,0,15.97,15.99,15.83,-0.88,16.94,37286.94,590252.2602,1.0
261,2017-08-29,600575,1.0,0,0.0,0.0108,0.0,1,4.62,4.86,4.68,1.08,5.29,310468.81,1452994.0307999998,3.0
213,2017-08-30,600420,44.0,0,0.0,-0.0101,0.0,1,15.8,15.81,15.67,-1.01,16.94,65398.75,1024798.4125,1.0
262,2017-08-30,600575,8.0,0,0.0,-0.032100000000000004,0.0,1,4.66,4.7,4.53,-3.21,5.29,348632.06,1579303.2318000002,2.0
214,2017-08-31,600420,56.0,0,0.0,-0.0211,0.0,1,15.67,15.67,15.34,-2.11,16.94,97451.81,1494910.7654,2.0
263,2017-08-31,600575,7.0,0,0.0,-0.0088,0.0,1,4.52,4.57,4.49,-0.88,5.29,173792.59,780328.7291,1.0
215,2017-09-01,600420,37.0,0,15.25,-0.005867014341590603,-0.04568210262828543,0,15.25,15.36,15.32,-0.13,16.94,68205.25,1044904.43,2.0
