date,stock,industry profit rank,buy,sell,profit,total profit,same with index,open,high,close,p_change,tendays max,volume
2018-09-17,000728,3.0,1,0.0,0.0,0.0,0,6.73,6.91,6.85,1.63,6.83,156442.3
2018-09-18,000728,35.0,0,0.0,0.017621145374449355,0.0,1,6.81,6.97,6.93,1.17,6.83,149859.48
2018-09-19,000728,28.5,0,0.0,0.0,0.0,0,6.89,7.01,6.93,0.0,6.83,141397.66
2018-09-20,000728,22.0,0,0.0,-0.0043,0.0,1,6.95,6.97,6.9,-0.43,6.83,95604.78
2018-09-21,000728,35.0,0,0.0,0.0159,0.0,1,6.9,7.02,7.01,1.59,7.02,160986.88
2018-09-25,000728,36.0,0,6.94,-0.009985734664764536,0.0190895741556536,1,6.94,6.96,6.89,-1.71,7.02,89414.76
2019-03-27,000739,5.0,1,0.0,0.0,0.0,1,10.4,11.45,11.45,9.99,11.07,333515.47
2019-03-28,000739,54.0,0,0.0,-0.034210526315789525,0.0,1,11.4,11.59,11.01,-3.84,11.07,235950.52
2019-03-29,000739,60.0,0,0.0,0.01,0.0,1,10.98,11.3,11.12,1.0,11.07,234706.62
2019-04-01,000739,59.0,0,0.0,0.0189,0.0,1,11.09,11.63,11.33,1.89,11.07,227181.56
2019-04-02,000739,15.0,0,11.33,0.0,-0.0061403508771930015,1,11.33,11.52,11.44,0.97,11.07,171590.64
2019-07-01,000859,2.0,1,0.0,0.0,0.0,1,5.07,5.39,5.39,10.0,5.3,533192.75
2019-07-02,000859,22.0,0,0.0,-0.06140350877192992,0.0,0,5.7,5.84,5.35,-0.74,5.84,1011516.19
2019-07-03,000859,2.0,0,5.22,-0.02429906542056073,-0.08421052631578951,0,5.22,5.6,5.51,2.99,5.84,679750.06
2018-03-12,002074,9.0,1,0.0,0.0,0.0,0,20.98,21.85,21.85,5.2,21.27,236955.88
2018-03-13,002074,76.0,0,0.0,-0.013321084060633861,0.0,1,21.77,21.99,21.48,-1.69,21.27,151107.2
2018-03-14,002074,4.0,0,0.0,0.0521,0.0,0,21.43,22.85,22.6,5.21,21.27,321997.44
2018-03-15,002074,11.0,0,22.4,-0.008849557522124019,0.02893890675241151,0,22.4,23.64,23.2,2.65,23.64,349191.16
2018-03-06,002127,1.0,1,0.0,0.0,0.0,1,13.93,15.0,14.81,6.85,14.79,233966.52
2018-03-07,002127,4.5,0,0.0,0.007482993197278994,0.0,0,14.7,15.05,14.81,0.0,14.79,139978.33
2018-03-08,002127,10.0,0,0.0,0.0094,0.0,1,14.79,15.1,14.95,0.94,14.79,102758.32
2018-03-09,002127,35.0,0,0.0,-0.0047,0.0,1,15.0,15.3,14.88,-0.47,14.79,119473.04
2018-03-12,002127,17.0,0,0.0,0.0195,0.0,0,14.88,15.73,15.17,1.95,14.79,154940.09
2018-03-13,002127,7.0,0,15.17,0.0,0.03197278911564627,0,15.17,15.4,15.29,0.79,14.79,99943.93
2019-07-01,002198,2.0,1,0.0,0.0,0.0,1,7.01,7.4,7.38,7.27,7.3,219637.16
2019-07-02,002198,48.0,0,0.0,-0.010869565217391313,0.0,0,7.36,7.66,7.28,-1.35,7.66,260173.2
