,open,high,low,close,volume,turnover,stock,today profit,next day profit,next day open,next day high,next day low,maxhigh,over,over maxhigh,bigvol before,buy,sell
2012-01-09,3.55,3.74,3.52,3.71,80136249.0,711429632.00,SH#600000.TXT,0.04802259887005648,0.021563342318059318,3.71,3.81,3.66,0.0,1.0,0.0,1.0,3.71,0.0
2012-01-11,3.78,3.81,3.73,3.74,49261157.0,444366560.00,SH#600000.TXT,-0.01319261213720312,0.01871657754010691,3.74,3.89,3.74,0.0,0.0,0.0,0.0,0.0,3.78
2014-11-27,6.53,6.7,6.39,6.53,439738276.0,5062406656.00,SH#600000.TXT,0.017133956386292885,0.09954058192955581,6.57,7.23,6.53,0.0,1.0,0.0,1.0,6.57,0.0
2014-12-01,7.21,7.58,6.98,7.01,607270363.0,7590567424.00,SH#600000.TXT,-0.023676880222841215,0.07132667617689016,6.92,7.65,6.92,0.0,0.0,0.0,0.0,0.0,7.21
2014-12-30,8.96,9.35,8.88,9.25,443655559.0,6774519296.00,SH#600000.TXT,0.03236607142857133,0.02486486486486491,9.31,9.55,9.07,0.0,1.0,0.0,1.0,9.31,0.0
2015-01-05,9.61,9.87,9.39,9.74,513568709.0,8182820864.00,SH#600000.TXT,0.02742616033755272,0.00513347022587258,9.7,10.17,9.57,0.0,0.0,0.0,0.0,0.0,9.61
2015-09-11,9.77,9.99,9.74,9.92,288708500.0,4469128192.00,SH#600000.TXT,0.02268041237113409,0.02620967741935482,9.88,10.19,9.48,0.0,1.0,0.0,1.0,9.88,0.0
2015-09-15,9.9,9.91,9.69,9.85,107602458.0,1658227584.00,SH#600000.TXT,-0.03241650294695482,-0.002030456852791835,9.74,10.08,9.55,0.0,0.0,0.0,0.0,0.0,9.9
2015-09-29,10.08,10.22,9.99,10.2,114190253.0,1807681536.00,SH#600000.TXT,0.0029498525073745683,0.046078431372549085,10.19,10.68,10.15,0.0,1.0,0.0,1.0,10.19,0.0
2015-10-08,10.78,10.78,10.11,10.13,140057148.0,2277284608.00,SH#600000.TXT,-0.05060918462980311,0.0019743336623889015,10.2,10.33,10.12,1.0,0.0,0.0,0.0,0.0,10.78
2017-05-24,11.23,11.33,11.1,11.3,70439000.0,1081377024.00,SH#600000.TXT,0.0026619343389530734,0.10442477876106192,11.3,12.48,11.27,0.0,1.0,0.0,1.0,11.3,0.0
2017-05-26,12.36,12.46,12.09,12.39,176456600.0,2246593280.00,SH#600000.TXT,-0.00721153846153845,0.0,12.3,12.6,12.21,0.0,0.0,0.0,0.0,0.0,12.36
2018-10-25,10.25,10.54,10.19,10.49,36866593.0,393987424.00,SH#600000.TXT,0.009624639076034613,0.007626310772163972,10.5,10.63,10.39,0.0,1.0,0.0,1.0,10.5,0.0
2018-10-29,10.73,10.77,10.36,10.44,35265959.0,385116480.00,SH#600000.TXT,-0.012298959318826942,0.015325670498084306,10.58,10.7,10.54,0.0,0.0,0.0,0.0,0.0,10.73
2019-06-06,11.16,11.16,11.03,11.12,26427215.0,303162720.00,SH#600000.TXT,0.0054249547920432835,0.012589928057554009,11.22,11.35,11.18,0.0,1.0,0.0,1.0,11.22,0.0
2019-06-11,11.35,11.45,11.27,11.42,52266217.0,594464064.00,SH#600000.TXT,0.014209591474245128,0.015761821366024494,11.42,11.7,11.4,0.0,0.0,0.0,0.0,0.0,11.35
2012-08-31,2.84,2.93,2.82,2.89,3453681.0,22371560.00,SH#600004.TXT,0.024822695035461095,0.006920415224913501,2.89,2.95,2.86,0.0,1.0,0.0,1.0,2.89,0.0
2012-09-04,2.91,2.93,2.82,2.84,2041891.0,13160592.00,SH#600004.TXT,-0.02405498281786951,0.014084507042253534,2.82,2.91,2.82,0.0,0.0,0.0,0.0,0.0,2.91
