,date,open,high,low,close,volume,turnover,stock,today profit,next day profit,next day open,next day high,next day low,maxhigh,over,over maxhigh,bigvol before,buy,sell,trading value,trading value rank
18092,2010-03-30,20.12,20.44,19.92,20.12,13223015.0,298465920.0,SZ#000960.TXT,0.01411290322580651,0.009443339960238457,20.26,20.49,20.17,0.0,1.0,0.0,1.0,20.26,0.0,266047061.8,1.0
18094,2010-09-08,19.57,21.34,19.43,20.93,27556384.0,632249856.0,SZ#000960.TXT,0.05707070707070702,-0.0023889154323937273,21.12,21.17,20.18,0.0,1.0,0.0,1.0,21.12,0.0,576755117.12,1.0
14138,2010-10-25,15.72,16.7,15.61,16.5,19006428.0,449930240.0,SZ#000422.TXT,0.0469543147208122,0.002424242424242373,16.52,16.83,16.24,0.0,1.0,14.85,1.0,16.52,0.0,313606062.0,1.0
2876,2010-10-29,8.36,8.65,8.29,8.57,11889366.0,161303136.0,SH#600279.TXT,0.02881152460984396,0.009334889148191371,8.57,8.76,8.43,0.0,1.0,0.0,1.0,8.57,0.0,101891866.62,3.0
4392,2010-10-29,2.27,2.36,2.24,2.35,3131403.0,47056536.0,SH#600446.TXT,0.03982300884955766,-0.004255319148936268,2.39,2.39,2.33,0.0,1.0,1.82,1.0,2.39,0.0,7358797.05,1.0
15936,2010-10-29,11.24,11.6,11.2,11.38,6605112.0,75223200.0,SZ#000695.TXT,0.012455516014234927,0.04217926186291728,11.28,12.1,11.28,0.0,1.0,6.65,1.0,11.28,0.0,75166174.56,2.0
6676,2010-11-01,6.69,6.82,6.63,6.76,19544041.0,151509216.0,SH#600676.TXT,0.004457652303120261,-0.008875739644970355,6.78,6.87,6.69,0.0,1.0,0.0,1.0,6.78,0.0,132117717.16,4.0
8324,2010-11-01,9.39,9.49,9.2,9.39,4478959.0,43050624.0,SH#600819.TXT,0.006430868167202625,0.10117145899893497,9.39,10.36,9.28,0.0,1.0,0.0,1.0,9.39,0.0,42057425.010000005,3.0
8754,2010-11-01,31.09,33.28,30.99,33.22,3978718.0,186944208.0,SH#600859.TXT,0.06851077516886456,0.005418422636965675,33.28,33.47,32.51,0.0,1.0,0.0,1.0,33.28,0.0,132173011.96,5.0
15976,2010-11-01,2.89,2.98,2.86,2.94,13405637.0,93770472.0,SZ#000700.TXT,0.02439024390243897,-0.0034013605442176145,2.97,3.07,2.92,0.0,1.0,0.0,1.0,2.97,0.0,39412572.78,2.0
16008,2010-11-01,11.13,11.44,11.09,11.44,2770876.0,96434408.0,SZ#000703.TXT,0.05437788018433179,-0.05419580419580413,11.77,11.77,10.82,0.0,1.0,0.0,1.0,11.77,0.0,31698821.439999998,1.0
7190,2010-11-02,14.33,14.87,14.02,14.76,22263545.0,348786272.0,SH#600723.TXT,0.029288702928870286,-0.024390243902438987,14.97,15.17,14.37,0.0,1.0,11.11,1.0,14.97,0.0,328609924.2,2.0
15946,2010-11-02,9.63,9.63,9.63,9.63,692712.0,6705452.0,SZ#000697.TXT,0.05016357688113423,0.01246105919003107,10.11,10.11,9.37,0.0,1.0,0.0,1.0,10.11,0.0,6670816.5600000005,1.0
4922,2010-11-03,1.05,1.51,1.05,1.51,40097976.0,276205536.0,SH#600507.TXT,0.7356321839080459,0.1125827814569536,2.08,2.08,1.52,0.0,1.0,0.0,1.0,2.08,0.0,60547943.76,2.0
9534,2010-11-03,6.42,6.72,6.42,6.54,2898516.0,24790424.0,SH#600984.TXT,0.012383900928792579,0.016819571865443472,6.52,6.68,6.51,0.0,1.0,0.0,1.0,6.52,0.0,18956294.64,1.0
778,2010-11-04,7.8,8.08,7.69,7.89,5199462.0,40966736.0,SH#600083.TXT,0.012836970474967863,0.0,7.81,8.06,7.81,0.0,1.0,7.42,1.0,7.81,0.0,41023755.18,4.0
1580,2010-11-04,3.25,3.31,3.21,3.28,11762163.0,67158120.0,SH#600162.TXT,0.003058103975535103,0.021341463414634238,3.29,3.37,3.25,0.0,1.0,0.0,1.0,3.29,0.0,38579894.64,3.0
8438,2010-11-04,12.33,12.71,12.14,12.54,1993089.0,41930996.0,SH#600828.TXT,0.016207455429497513,-0.002392344497607605,12.78,12.78,12.33,0.0,1.0,0.0,1.0,12.78,0.0,24993336.06,2.0
9512,2010-11-04,3.43,3.61,3.37,3.55,5820018.0,58014752.0,SH#600982.TXT,0.03197674418604648,0.0,3.59,3.59,3.51,0.0,1.0,0.0,1.0,3.59,0.0,20661063.9,1.0
13338,2010-11-04,33.36,34.06,33.26,34.0,1893446.0,68018728.0,SZ#000028.TXT,0.019184652278177474,0.02294117647058827,33.99,34.96,33.36,0.0,1.0,0.0,1.0,33.99,0.0,64377164.0,5.0
2860,2010-11-05,9.05,9.13,8.85,9.0,7325554.0,92952880.0,SH#600278.TXT,0.00558659217877103,0.03888888888888885,9.08,9.43,9.05,0.0,1.0,5.51,1.0,9.08,0.0,65929986.0,4.0
3802,2010-11-05,3.74,3.85,3.72,3.84,17920779.0,152912832.0,SH#600368.TXT,0.026737967914438405,0.02604166666666669,3.85,3.95,3.8,0.0,1.0,0.0,1.0,3.85,0.0,68815791.36,5.0
7256,2010-11-05,5.0,5.25,4.98,5.14,11736565.0,159473184.0,SH#600728.TXT,0.009823182711198392,0.05058365758754877,5.17,5.4,5.15,0.0,1.0,0.0,1.0,5.17,0.0,60325944.099999994,3.0
8568,2010-11-05,10.06,10.31,9.94,10.27,2480564.0,42002752.0,SH#600841.TXT,0.025974025974025955,0.054527750730282425,10.45,11.1,10.45,0.0,1.0,7.87,1.0,10.45,0.0,25475392.279999997,1.0
8674,2010-11-05,3.74,3.76,3.69,3.74,11605310.0,57621544.0,SH#600853.TXT,0.01081081081081082,0.024064171122994613,3.79,3.85,3.76,0.0,1.0,0.0,1.0,3.79,0.0,43403859.400000006,2.0
1788,2010-11-08,8.04,8.04,8.03,8.04,1583008.0,13328867.0,SH#600180.TXT,0.052356020942408314,0.04477611940298523,8.46,8.46,8.05,0.0,1.0,0.0,1.0,8.46,0.0,12727384.319999998,2.0
5174,2010-11-08,3.88,3.98,3.83,3.92,8407412.0,91378664.0,SH#600530.TXT,0.015544041450777216,-0.005102040816326535,3.93,3.94,3.82,0.0,1.0,0.0,1.0,3.93,0.0,32957055.04,3.0
8110,2010-11-08,2.83,2.85,2.76,2.83,3578178.0,69504496.0,SH#600801.TXT,0.017985611510791463,0.035335689045936425,2.83,2.94,2.81,0.0,1.0,0.0,1.0,2.83,0.0,10126243.74,1.0
13282,2010-11-08,8.57,8.79,8.51,8.78,5233688.0,46987940.0,SZ#000023.TXT,0.02570093457943912,-0.012528473804100163,8.73,8.76,8.56,0.0,1.0,5.82,1.0,8.73,0.0,45951780.63999999,4.0
16766,2010-11-08,8.84,9.0,8.73,9.0,5891992.0,52023880.0,SZ#000803.TXT,0.022727272727272645,-0.00444444444444435,8.99,8.99,8.82,0.0,1.0,0.0,1.0,8.99,0.0,53027928.0,5.0
2002,2010-11-09,2.37,2.48,2.35,2.45,13235073.0,180156944.0,SH#600201.TXT,0.033755274261603414,-0.01632653061224491,2.44,2.55,2.4,0.0,1.0,0.0,1.0,2.44,0.0,32425928.85,2.0
3850,2010-11-09,8.06,8.19,7.87,8.11,3341296.0,59660644.0,SH#600373.TXT,0.009962640099626413,0.0036991368680642594,8.36,8.36,7.92,0.0,1.0,0.0,1.0,8.36,0.0,27097910.56,1.0
7266,2010-11-09,46.48,47.63,45.57,47.61,901179.0,45849020.0,SH#600729.TXT,0.021673819742489227,0.04263810123923548,47.46,49.89,46.69,0.0,1.0,28.18,1.0,47.46,0.0,42905132.19,5.0
14640,2010-11-09,3.87,3.92,3.77,3.92,9709306.0,100324392.0,SZ#000545.TXT,0.015544041450777216,0.0,3.91,4.04,3.89,0.0,1.0,2.51,1.0,3.91,0.0,38060479.519999996,3.0
18736,2010-11-09,5.16,5.8,5.11,5.61,6800401.0,149167456.0,SZ#002014.TXT,0.09143968871595344,0.010695187165775331,5.57,5.81,5.44,0.0,1.0,0.0,1.0,5.57,0.0,38150249.61,4.0
1232,2010-11-10,10.96,11.4,10.8,11.32,34672820.0,530152352.0,SH#600125.TXT,0.02909090909090912,-0.02738515901060075,11.24,11.65,10.99,0.0,1.0,8.21,1.0,11.24,0.0,392496322.40000004,5.0
6986,2010-11-10,5.05,5.19,4.86,5.13,12285853.0,266639088.0,SH#600704.TXT,0.015841584158415856,-0.0233918128654971,5.11,5.38,4.99,0.0,1.0,0.0,1.0,5.11,0.0,63026425.89,2.0
