,date,close,high,last day profit,low,ma10,ma20,ma5,next week profit,open,p_change,price_change,stock,trading,trading days,turnover,v_ma10,v_ma20,v_ma5,volume,trading value,trading value rank
258,2017-04-02,20.01,20.09,-0.026750972762645774,19.73,20.414,20.414,20.414,0.03748125937031484,19.82,1.01,0.2,600007.csv,1,5,,15819.4,15819.4,15819.4,10926.6,218641.26600000003,3.0
1419,2017-04-02,18.91,18.98,-0.009429020429544249,18.52,19.262,19.262,19.262,0.004759386567953456,18.6,2.16,0.4,600088.csv,1,5,,15423.68,15423.68,15423.68,14864.72,281091.8552,10.0
1548,2017-04-02,8.41,8.47,-0.012910798122065659,8.37,8.642000000000001,8.642000000000001,8.642000000000001,0.004756242568370886,8.37,0.24,0.02,600091.csv,1,5,,51171.45,51171.45,51171.45,33311.0,280145.51,9.0
3096,2017-04-02,21.62,22.24,-0.02568724650743579,21.55,22.056,22.056,22.056,0.01387604070305276,21.98,-1.59,-0.35,600167.csv,1,5,,14914.93,14914.93,14914.93,14829.57,320615.30340000003,17.0
7344,2017-04-02,5.03,5.04,-0.017578124999999972,4.97,5.03,5.03,5.03,0.015904572564612342,4.99,0.8,0.04,600403.csv,1,5,,73193.77,73193.77,73193.77,42802.86,215298.38580000002,2.0
8505,2017-04-02,6.33,6.35,-0.021638330757341527,6.27,6.44,6.44,6.44,0.020537124802527628,6.31,0.64,0.04,600460.csv,1,5,,96241.49,96241.49,96241.49,53283.97,337287.53010000003,18.0
8892,2017-04-02,36.59,36.68,-0.009206607094503012,36.23,36.506,36.506,36.506,-0.011478546050833607,36.23,1.13,0.41,600486.csv,1,5,,13796.33,13796.33,13796.33,7634.61,279350.3799,8.0
9795,2017-04-02,18.13,18.15,-0.02264150943396236,17.76,18.258,18.258,18.258,0.07004964147821288,17.76,0.95,0.17,600539.csv,1,5,,16842.29,16842.29,16842.29,17271.02,313123.5926,14.0
13056,2017-04-02,9.87,9.88,-0.004036326942482435,9.79,9.87,9.87,9.87,0.02836879432624125,9.86,0.1,0.01,600712.csv,1,5,,36936.81,36936.81,36936.81,25377.57,250476.61589999998,6.0
14475,2017-04-02,17.77,18.09,-0.02949208083014742,17.65,18.24,18.24,18.24,0.04614518851997751,17.89,-0.56,-0.1,600817.csv,1,5,,12393.22,12393.22,12393.22,8663.02,153941.8654,1.0
16281,2017-04-02,8.2,8.24,-0.02147971360381879,8.15,8.346,8.346,8.346,0.018292682926829312,8.23,0.12,0.01,600975.csv,1,5,,56542.04,56542.04,56542.04,38525.77,315911.31399999995,16.0
16539,2017-04-02,10.55,10.57,-0.012172284644194665,10.31,10.584,10.584,10.584,0.007582938388625599,10.31,1.93,0.2,600983.csv,1,5,,41742.4,41742.4,41742.4,29369.66,309849.913,13.0
18133,2017-04-02,8.24,8.29,-0.026004728132387783,8.2,8.236,8.236,8.236,0.053398058252427126,8.21,0.49,0.04,601599.csv,1,5,,53660.71,53660.71,53660.71,30460.81,250997.0744,7.0
18649,2017-04-02,37.85,38.57,-0.022216481529320573,37.78,38.636,38.636,38.636,0.03778071334214002,38.09,-0.58,-0.22,601799.csv,1,5,,10233.81,10233.81,10233.81,8323.05,315027.4425,15.0
19036,2017-04-02,32.7,32.92,-0.06917164816396243,32.5,33.2,33.2,33.2,0.09174311926605504,32.57,0.52,0.17,603006.csv,1,5,,16004.22,16004.22,16004.22,9130.88,298579.776,12.0
19294,2017-04-02,9.85,9.9,-0.018924302788844573,9.72,9.98,9.98,9.98,0.05685279187817264,9.72,1.23,0.12,603012.csv,1,5,,26440.44,26440.44,26440.44,22795.22,224532.91700000002,4.0
19423,2017-04-02,20.01,20.31,-0.06451612903225802,19.79,20.532,20.532,20.532,0.053473263368315684,20.29,0.15,0.03,603017.csv,1,5,,17935.38,17935.38,17935.38,17415.01,348474.3501,19.0
22375,2017-04-02,18.94,19.26,-0.016614745586708217,18.82,19.748,19.748,19.748,0.012671594508975629,19.1,-0.94,-0.18,603567.csv,1,5,,31786.37,31786.37,31786.37,18455.48,349546.79120000004,20.0
24955,2017-04-02,31.08,31.79,-0.03747290182719111,30.9,32.268,32.268,32.268,0.025740025740025763,31.17,-0.39,-0.12,603918.csv,1,5,,13391.19,13391.19,13391.19,7327.72,227745.53759999998,5.0
25213,2017-04-02,28.17,28.49,-0.021874999999999964,27.95,29.346,29.346,29.346,0.02910898118565838,27.95,0.68,0.19,603936.csv,1,5,,16567.48,16567.48,16567.48,10388.99,292657.8483,11.0
260,2017-04-16,20.88,21.31,0.0,20.8,20.65,20.673,20.946,-0.018199233716475048,21.31,-0.43,-0.09,600007.csv,1,5,,15208.82,14943.02,16699.86,13112.5,273789.0,18.0
3993,2017-04-16,9.25,9.35,-0.003232758620689586,9.25,9.512,9.522,9.392,-0.05513513513513511,9.35,-0.54,-0.05,600207.csv,1,5,,45471.19,46339.91,40096.72,27558.19,254913.25749999998,13.0
7346,2017-04-16,5.09,5.17,0.0039447731755423215,5.07,5.084,5.075,5.098,-0.007858546168958749,5.1,-0.2,-0.01,600403.csv,1,5,,32085.48,46306.95,29249.74,36338.0,184960.41999999998,5.0
7604,2017-04-16,53.15,53.78,0.02725164282953221,53.0,54.779,55.97,53.852,-0.03555973659454376,53.28,-0.91,-0.49,600419.csv,1,5,,7283.82,7896.96,6107.34,2995.54,159212.951,2.0
8249,2017-04-16,47.76,48.78,0.0010479983232026234,47.3,47.464,47.878,47.702,-0.05464824120603015,47.79,-0.08,-0.04,600455.csv,1,5,,7340.73,7355.04,5030.43,3663.71,174978.7896,3.0
9539,2017-04-16,18.23,18.42,-0.00870038064165308,18.18,18.63,18.634,18.498,0.02303894679100374,18.25,-1.08,-0.2,600529.csv,1,5,,31549.45,30934.23,22265.4,14716.25,268277.2375,16.0
13058,2017-04-16,10.01,10.15,0.008056394763343409,9.93,9.957,9.938,9.95,-0.02797202797202791,10.1,-1.38,-0.14,600712.csv,1,5,,42112.68,40162.55,45825.73,24140.0,241641.4,10.0
14477,2017-04-16,18.15,18.42,0.020809898762654527,18.05,18.3,18.351,18.464,-0.05564738292011009,18.42,-0.49,-0.09,600817.csv,1,5,,20532.03,18360.82,19695.9,8213.58,149076.47699999998,1.0
14606,2017-04-16,14.31,14.54,0.014893617021276655,14.15,14.542,14.616,14.542,-0.0852550663871419,14.54,-1.58,-0.23,600829.csv,1,5,,25535.22,23736.97,21932.81,16510.64,236267.2584,9.0
15122,2017-04-16,8.71,8.78,-0.0011467889908256634,8.57,8.728,8.845,8.716000000000001,-0.05855338691159604,8.77,-0.68,-0.06,600870.csv,1,5,,38742.64,45808.6,35395.76,28294.33,246443.61430000004,12.0
16541,2017-04-16,10.51,10.58,0.0,10.49,10.54,10.571,10.514,-0.021883920076118026,10.58,-0.66,-0.07,600983.csv,1,5,,29946.2,33326.46,27502.44,23426.45,246211.9895,11.0
19812,2017-04-16,13.97,14.14,0.018221574344023318,13.94,14.283,14.373,14.082,-0.03865425912670013,14.1,-0.92,-0.13,603023.csv,1,5,,39429.02,35701.67,18394.21,15138.46,211484.2862,7.0
20328,2017-04-16,20.4,20.88,-0.026717557251908504,20.37,21.393,21.915,20.848000000000006,-0.007352941176470519,20.8,-2.25,-0.47,603101.csv,1,5,,20335.81,24202.71,19409.39,13483.75,275068.5,19.0
21482,2017-04-16,53.74,54.68,-0.0020427112349117814,53.63,54.675,54.736,54.2,-0.014700409378489003,54.06,-0.99,-0.54,603338.csv,1,5,,9711.25,9831.57,6594.72,5016.12,269566.2888,17.0
22377,2017-04-16,18.54,18.89,0.04274465691788515,18.52,18.933,19.232,18.736,-0.03451995685005397,18.89,-1.96,-0.37,603567.csv,1,5,,21032.96,24553.36,22941.93,13933.73,258331.35419999997,14.0
24312,2017-04-16,29.61,30.0,-0.005708529214237801,29.5,30.694000000000006,31.217,29.644,0.017899358324890282,29.9,-1.23,-0.37,603808.csv,1,5,,17177.84,16202.18,19762.97,7189.1,212869.25100000002,8.0
24570,2017-04-16,42.24,43.38,-0.005181347150259041,42.11,43.264,43.644,43.038,0.029592803030303032,43.0,-1.77,-0.76,603866.csv,1,5,,9695.94,8651.28,7126.11,6140.5,259374.72,15.0
