,date,close,high,last day profit,low,next week profit,open,stock,trading,trading days,turnover,volume,trading value,trading value rank
45855,2010-10-17,1.43,1.48,-0.02721088435374152,1.42,0.020979020979021,1.47,8.0,1,5,12116938.0,958688.0,1370923.8399999999,1.0
84893,2010-10-17,6.38,6.62,-0.012383900928792579,6.36,0.06426332288401257,6.36,2180.0,1,5,11475689.0,574034.0,3662336.92,3.0
97718,2010-10-17,4.19,4.32,-0.018735362997657892,4.15,0.050119331742243416,4.28,2303.0,1,5,36647732.0,1054446.0,4418128.74,4.0
101533,2010-10-17,2.68,2.74,0.0,2.64,0.02611940298507457,2.65,2361.0,1,5,18806300.0,824129.0,2208665.72,2.0
107726,2010-10-17,4.59,4.83,-0.041753653444676436,4.58,0.06100217864923752,4.78,2455.0,1,5,29113448.0,1060158.0,4866125.22,5.0
45856,2010-10-24,1.46,1.48,0.013888888888888902,1.43,0.0,1.44,8.0,1,5,8047245.5,633534.0,924959.64,1.0
101239,2010-10-24,5.26,5.27,0.017408123791102487,5.12,0.06273764258555135,5.17,2358.0,1,5,23082920.0,519843.0,2734374.1799999997,4.0
101534,2010-10-24,2.75,2.77,0.01102941176470581,2.71,0.032727272727272674,2.73,2361.0,1,5,18687800.0,800817.0,2202246.75,2.0
103007,2010-10-24,5.55,5.64,0.00909090909090906,5.47,-0.01081081081081074,5.51,2397.0,1,5,21108722.0,506710.0,2812240.5,5.0
107727,2010-10-24,4.87,4.89,0.006198347107438068,4.84,0.03696098562628331,4.89,2455.0,1,5,15897590.0,559186.0,2723235.82,3.0
45857,2010-10-31,1.46,1.48,0.0,1.44,0.07534246575342472,1.46,8.0,1,5,10580883.0,831458.0,1213928.68,1.0
95383,2010-10-31,4.09,4.17,0.014888337468982531,4.02,-0.002444987775061073,4.03,2280.0,1,5,29145808.0,1075738.0,4399768.42,4.0
101240,2010-10-31,5.59,5.61,0.03518518518518509,5.36,0.008944543828264727,5.42,2358.0,1,5,29820648.0,635670.0,3553395.3,3.0
103008,2010-10-31,5.49,5.57,0.003656307129798988,5.44,0.0,5.48,2397.0,1,5,24711308.0,598317.0,3284760.33,2.0
12242,2010-10-31,4.95,4.99,-0.002016129032258021,4.88,0.09292929292929293,4.99,600310.0,1,5,23422636.0,937316.0,4639714.2,5.0
45858,2010-11-07,1.57,1.58,0.0,1.55,-0.0509554140127389,1.57,8.0,1,5,11796296.0,866459.0,1360340.6300000001,1.0
97721,2010-11-07,4.68,4.78,-0.00636942675159241,4.65,-0.01282051282051274,4.76,2303.0,1,5,30505526.0,791824.0,3705736.32,4.0
101241,2010-11-07,5.64,5.78,-0.003533568904593721,5.52,-0.07978723404255307,5.71,2358.0,1,5,15746101.0,332093.0,1873004.5199999998,2.0
101536,2010-11-07,2.85,2.89,0.007067137809187284,2.84,-0.014035087719298258,2.87,2361.0,1,5,27472002.0,1132166.0,3226673.1,3.0
103009,2010-11-07,5.49,5.49,0.014787430683918681,5.4,0.0273224043715846,5.43,2397.0,1,5,30822410.0,750691.0,4121293.5900000003,5.0
