,date,1st time being 10 days high,above 10 days high,above 10 days max vol,close,high,history highest,is close highest,is highest,last day profit,low,next day high,next day low,next day open,next day profit,open,prev 9 days high,prev 9 days max vol,stock,trading,trading days,turnover,volume,trading value,trading value rank
9188,2015-01-05,,1.0,0.0,8.08,8.14,8.14,1.0,1.0,0.041237113402061897,7.77,,,7.98,-0.013613861386138655,7.86,7.91,26314961.0,SH#600621.TXT,1,,171206608.0,20343164.0,164372765.12,5.0
16266,2015-01-05,0.0,1.0,0.0,5.85,6.09,6.09,1.0,1.0,0.031746031746031696,5.74,5.89,5.46,5.84,-0.005128205128205019,5.74,5.77,30209019.0,SZ#000090.TXT,1,,284548448.0,19844066.0,116087786.1,2.0
22637,2015-01-05,0.0,1.0,0.0,5.65,5.79,5.79,1.0,1.0,0.0721062618595827,5.25,5.55,5.06,5.43,-0.09557522123893804,5.27,5.34,49199043.0,SZ#000961.TXT,1,,369317216.0,25665012.0,145007317.8,3.0
30616,2015-01-05,1.0,1.0,0.0,3.13,3.16,3.16,1.0,1.0,0.033003300330033035,2.97,3.25,3.06,3.09,0.031948881789137414,3.0,3.05,5696394.0,SZ#002372.TXT,1,,81658392.0,5117893.0,16019005.09,1.0
12477,2015-01-06,,1.0,0.0,9.09,9.15,9.15,1.0,1.0,0.07067137809187275,8.3,,,8.96,-0.033003300330033083,8.37,8.92,35757366.0,SH#600814.TXT,1,,162781328.0,17584882.0,159846577.38,4.0
33396,2015-01-06,0.0,1.0,0.0,11.07,11.07,11.07,1.0,1.0,0.12385786802030466,10.13,11.22,10.5,11.22,-0.023486901535682003,10.2,9.85,7109376.0,SZ#002508.TXT,1,,191549248.0,4950118.0,54797806.26,3.0
38287,2015-01-06,0.0,0.0,0.0,11.03,11.03,11.03,1.0,1.0,0.11301715438950545,11.03,12.26,12.26,12.26,0.11151405258386224,11.03,,,SZ#002736.TXT,1,,16400205.0,1333350.0,14706850.5,1.0
14845,2015-01-07,,1.0,0.0,4.85,4.9,4.9,1.0,1.0,0.02754237288135591,4.6,,,4.8,-0.014432989690721525,4.69,4.83,97498503.0,SH#601012.TXT,1,,797330496.0,36429152.0,176681387.2,4.0
29753,2015-01-07,0.0,1.0,0.0,9.73,10.08,10.08,1.0,1.0,0.06106870229007639,8.72,9.73,9.26,9.36,-0.03186022610483047,9.07,9.55,26912328.0,SZ#002337.TXT,1,,682804160.0,23593546.0,229565202.58,5.0
38288,2015-01-07,0.0,0.0,0.0,12.26,12.26,12.26,1.0,1.0,0.11151405258386224,12.26,13.61,13.61,13.61,0.11011419249592166,12.26,,,SZ#002736.TXT,1,,3102429.0,229300.0,2811218.0,2.0
